Boresight Angle,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-7,28.381512503836436,35,26.81615456655875,-1.0
-7,28.381512503836436,34,29.117404268760147,0.0
-6,28.381512503836436,34,29.3454091702191,0.0
-6,28.381512503836436,34,27.263568594057936,-1.0
-5,28.381512503836436,34,25.39771631998012,-2.0
-4,28.381512503836436,33,27.11808173622422,-1.0
-4,28.381512503836436,32,29.163465022374467,0.0
-3,28.381512503836436,32,29.11010819185016,0.0
-3,28.381512503836436,32,27.960498155365165,-1.0
-3,28.381512503836436,31,29.94269904286768,0.0
-2,28.381512503836436,32,28.825115911916942,0.0
-2,28.381512503836436,31,28.384167344921728,0.0
-2,28.381512503836436,31,28.580796436519925,0.0
-1,28.381512503836436,31,27.09471186401348,-1.0
-1,28.381512503836436,30,29.4435183648494,0.0
0,28.381512503836436,30,29.43749656497709,0.0
0,28.381512503836436,30,28.10272610248196,-1.0
1,28.381512503836436,29,29.40037848796085,0.0
1,28.381512503836436,29,29.04184361416126,0.0
1,28.381512503836436,29,28.995906910391405,0.0
1,28.381512503836436,29,28.534566296974468,0.0
2,28.381512503836436,29,26.75345919633972,-1.0
2,28.381512503836436,28,28.79559831178225,0.0
3,28.381512503836436,28,28.945789699371787,0.0
3,28.381512503836436,28,27.55475546940941,-1.0
4,28.381512503836436,27,28.588155283336533,0.0
4,28.381512503836436,27,26.97031586142515,0.0
4,28.381512503836436,27,28.724388201809937,0.0
5,28.381512503836436,27,28.98639319229303,0.0
5,28.381512503836436,27,27.333135306806437,-1.0
5,28.381512503836436,26,29.357143937369518,0.0
6,28.381512503836436,26,26.95444443259104,-1.0
6,28.381512503836436,25,28.81896316318912,0.0
7,28.381512503836436,25,28.4804413344339,0.0
7,28.381512503836436,25,27.79576182258488,-1.0
8,28.381512503836436,24,28.56723120073912,0.0
8,28.381512503836436,24,28.49248319324979,0.0
8,28.381512503836436,24,28.43065130902442,0.0
9,28.381512503836436,24,28.3483937272974,-1.0
9,28.381512503836436,23,29.126076109627306,0.0
10,28.381512503836436,23,29.07179497149633,0.0
10,28.381512503836436,23,27.958853460185694,-2.0
11,28.381512503836436,23,30.34189294818467,0.0
11,28.381512503836436,22,27.90089480761408,-1.0
13,28.381512503836436,22,26.488813945532065,-4.0
13,28.381512503836436,20,28.68529518391395,0.0
13,28.381512503836436,20,28.567555097569688,0.0
14,28.381512503836436,20,27.12121442083736,-1.0
14,28.381512503836436,19,29.10149374165488,0.0
15,28.381512503836436,19,29.322687263373084,0.0
15,28.381512503836436,19,28.66661010577808,0.0
15,28.381512503836436,19,28.3995267364703,0.0
16,28.381512503836436,19,28.18254701192363,-3.0
17,28.381512503836436,18,27.72775631739256,-1.0
18,28.381512503836436,18,27.787767374415843,-2.0
19,28.381512503836436,17,27.94094483574397,-2.0
19,28.381512503836436,16,28.44232831738052,0.0
20,28.381512503836436,16,28.559125905877373,0.0
20,28.381512503836436,16,27.59120246674471,-1.0
20,28.381512503836436,15,28.976898293216703,0.0
21,28.381512503836436,15,28.429720763957235,0.0
21,28.381512503836436,15,28.13510521865753,0.0
21,28.381512503836436,15,28.764647341356543,0.0
22,28.381512503836436,15,28.653203950415254,0.0
22,28.381512503836436,14,28.69910020315564,0.0
22,28.381512503836436,14,28.842087257256736,0.0
