Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_024605_370,-34,57,57,36.3,13.98556466086913,-79.84269142150879,-79.84269142150879,0.1033301353454589,0.2608058452606201,57,57.0,OffsetFailed,2,54,31.9,21.59279806538531,-3.0,[],0.1029865741729736,0.0503969192504882,0.050464391708374,0.0567505359649658,0.0006775856018066
20250724_024605_005,-34,57,57,36.3,13.597146160079689,-80.48520584106446,-80.48520584106446,0.1027405261993408,0.2609386444091797,57,57.0,OffsetFailed,2,54,31.9,20.84306207121556,-3.0,[],0.1023955345153808,0.0504665374755859,0.0504839420318603,0.0567052364349365,0.0007069110870361
20250724_024605_736,-33,56,56,34.8,20.01295070685856,-82.7091049194336,-82.7091049194336,0.1045513153076171,0.2609968185424804,56,56.0,OffsetFailed,2,56,34.8,19.71207236380073,0.0,[],0.1042053699493408,0.0505180358886718,0.0504753589630126,0.0567305088043212,0.0006425380706787
20250724_024606_103,-33,56,56,34.8,17.078638317181955,-78.24673156738281,-78.24673156738281,0.1036081314086914,0.2613129615783691,56,53.0,OffsetCorrected,2,53,30.5,24.297554184135265,-3.0,[],0.1032550334930419,0.0504724979400634,0.0504803657531738,0.0567469596862793,0.0009222030639648
20250724_024607_569,-32,55,55,33.4,18.8511340769304,-82.25617370605468,-82.25617370605468,0.1018610000610351,0.2609438896179199,55,55.0,OffsetFailed,2,54,31.9,20.153100061701394,-1.0,[],0.1008203029632568,0.0504841804504394,0.0504701137542724,0.0567348003387451,0.0006623268127441
20250724_024607_203,-32,55,55,33.4,19.067468390895257,-81.83789100646973,-81.83789100646973,0.1022286415100097,0.2613203525543213,55,55.0,OffsetFailed,2,54,31.9,20.627304206367967,-1.0,[],0.1019089221954345,0.050450325012207,0.0504522323608398,0.0567586421966552,0.0006625652313232
20250724_024607_933,-31,55,55,33.4,16.563982507851577,-78.52015075683593,-78.52015075683593,0.1008479595184326,0.2608938217163086,55,55.0,OffsetFailed,2,52,29.0,23.31390016791562,-3.0,[],0.1004962921142578,0.0504682064056396,0.0504515171051025,0.0567965507507324,0.0006749629974365
20250724_024608_296,-31,55,55,33.4,16.31070473718971,-78.89307479858398,-78.89307479858398,0.1013834476470947,0.261441707611084,55,55.0,OffsetFailed,2,52,29.0,23.00812714476878,-3.0,[],0.1009852886199951,0.0504710674285888,0.0504765510559082,0.0567324161529541,0.0006699562072753
20250724_024608_661,-30,54,54,31.9,18.373099350156902,-80.72450370788575,-80.72450370788575,0.1020228862762451,0.2609395980834961,54,54.0,OffsetFailed,2,53,30.5,21.857281069453308,-1.0,[],0.1017191410064697,0.0504438877105712,0.0505008697509765,0.0567319393157959,0.0007073879241943
20250724_024609_026,-30,54,54,31.9,14.413810819544594,-78.0182876586914,-78.0182876586914,0.1016919612884521,0.2609436511993408,54,51.0,OffsetCorrected,2,51,27.6,23.953184185009704,-3.0,[],0.1013824939727783,0.0504744052886962,0.0504264831542968,0.0568954944610595,0.0006594657897949
20250724_024610_481,-29,53,53,30.5,16.832147344685026,-79.05121459960938,-79.05121459960938,0.1012353897094726,0.2609963417053222,53,53.0,OffsetFailed,2,51,27.6,23.289029825902887,-2.0,[],0.1008856296539306,0.0504610538482666,0.0504736900329589,0.0568170547485351,0.0006656646728515
20250724_024610_117,-29,53,53,30.5,16.529109761043756,-78.61861000061035,-78.61861000061035,0.1007699966430664,0.2609248161315918,53,51.0,OffsetCorrected,2,51,27.6,23.98903629867891,-2.0,[],0.1004619598388671,0.0504746437072753,0.050487995147705,0.0567498207092285,0.0006663799285888
20250724_024610_845,-28,53,53,30.5,14.485347294154693,-78.22965545654297,-78.22965545654297,0.1033351421356201,0.2609732151031494,53,50.0,OffsetCorrected,2,50,26.1,24.064226640450883,-3.0,[],0.1029982566833496,0.0504183769226074,0.0505023002624511,0.0567848682403564,0.000676155090332
20250724_024611_576,-28,52,52,29.0,20.426182649885703,-82.12754669189454,-82.12754669189454,0.1031477451324462,0.2608504295349121,52,52.0,OffsetFailed,2,52,29.0,20.43253151056624,0.0,[],0.10282564163208,0.0504512786865234,0.0504372119903564,0.05672287940979,0.0006511211395263
20250724_024611_942,-27,52,52,29.0,18.71606700501404,-81.1436767578125,-81.1436767578125,0.1015191078186035,0.2609682083129883,52,52.0,OffsetFailed,2,51,27.6,21.13343974074729,-1.0,[],0.1011922359466552,0.0504829883575439,0.0504860877990722,0.0567262172698974,0.0007224082946777
20250724_024612_306,-27,52,52,29.0,18.71921584330525,-81.02149696350098,-81.02149696350098,0.1047821044921875,0.2610082626342773,52,52.0,OffsetFailed,2,51,27.6,21.670634944870045,-1.0,[],0.1044821739196777,0.0504641532897949,0.0504908561706543,0.0567781925201416,0.0006954669952392
